# Warning, this file is updated automatically by SPADS.
# Any modifications performed on this file while SPADS is running will be automatically erased.
  
#?mapName:nbTeams|boxes
Aberdeen3v3v3.smf:2|0 0 200 50;0 150 200 200
Akilon Wastelands - v18.smf:2|0 0 200 48;0 152 200 200
AlphaSiegeDry 2.2.smf:2|0 0 30 200;170 0 200 200
Altored Divide Bar Remake 1.55.smf:2|0 0 200 60;0 140 200 200
BlackStar_v2.smf:2|0 0 40 200;160 0 200 200
Boulder_Beach_V1.smf:2|0 0 40 200;160 0 200 200
Calamity 1.1.smf:2|0 0 200 60;0 140 200 200
Centerrock Remake 1.2.smf:2|0 0 50 50;150 150 200 200
Centerrock Remake 1.2.smf:4|0 0 50 50;150 150 200 200;0 150 50 200;150 0 200 50
CenterrockV12.smf:2|0 0 30 200;170 0 200 200
CenterrockV12.smf:4|0 0 70 70;130 130 200 200;0 130 70 200;130 0 200 70
Cervino v1.smf:2|0 0 60 200;140 0 200 200
Colorado_v1.smf:2|0 0 34 200;166 0 200 200
Comet Catcher Remake 1.8.smf:2|0 0 40 200;160 0 200 200
Desert 3.25.smf:2|0 0 40 200;160 0 200 200
Dworld Acidic.smf:3|0 0 70 70;130 0 200 100;0 130 100 200
Emain Macha v3.smf:2|0 0 200 30;0 170 200 200
Eye of Horus v13.smf:2|0 0 200 40;0 160 200 200
Eye of Horus v13.smf:4|0 0 50 50;150 150 200 200;0 150 50 200;150 0 200 50
Gecko Isle 1.1.smf:2|0 0 200 40;0 160 200 200
Incandescence 2.2.smf:2|0 0 100 100;100 100 200 200
Incandescence 2.2.smf:4|0 0 70 70;130 130 200 200;0 130 70 200;130 0 200 70
KnockoutR 1.5.smf:2|0 0 200 56;0 144 200 200
Kolmogorov.smf:2|0 120 80 200;120 0 200 80
Mescaline_V2.smf:2|0 0 40 200;160 0 200 200
MoonQ20XR2 2.5.smf:2|0 0 60 200;140 0 200 200
Otago 1.3.smf:2|0 0 40 200;160 0 200 200
Painted Badlands 1.0.smf:2|0 0 200 50;0 150 200 200
Ponds.smf:2|0 0 200 40;0 160 200 200
Quicksilver Remake 1.24.smf:2|0 120 80 200;120 0 200 80
Red Comet Remake 1.8.smf:2|0 0 50 200;150 0 200 200
SapphireShores_V2.2.smf:2|0 0 60 200;140 0 200 200
Small_Supreme_Battlefield_V3.smf:4|0 0 100 100;100 100 200 200;0 100 100 200;100 0 200 100
SpeedMetal BAR V2.smf:2|0 0 20 200;180 0 200 200
Stronghold V4.smf:2|0 0 40 40;160 160 200 200
Stronghold V4.smf:4|0 0 50 50;150 150 200 200;0 150 50 200;150 0 200 50
Supreme_Crossing_V1.smf:2|0 130 70 200;130 0 200 70
TMA20X 1.8.smf:2|0 0 200 68;0 132 200 200
Tabula-v4.smf:2|0 0 40 200;160 0 200 200
Tabula_Flooded_v04.smf:2|0 0 100 200;100 0 200 200
Talus-wet-v3.smf:2|0 0 200 40;0 160 200 200
Talus_v2.smf:2|0 0 40 200;160 0 200 200
Tempest.smf:2|0 0 200 50;0 150 200 200
Throne Acidic.smf:2|0 0 200 50;0 150 200 200
Titan v3.1.smf:2|0 0 50 200;150 0 200 200
TitanDuel.smf:2|0 0 60 60;140 140 200 200
TitanDuel.smf:4|0 0 56 56;144 144 200 200;0 144 56 200;144 0 200 56
Tropical.smf:2|0 0 200 80;0 120 200 200
Tumult.smf:2|0 0 200 40;0 160 200 200
Vantage v1.0.smf:2|0 0 20 200;180 0 200 200
Zed 2.3 - MexesFix.smf:2|0 0 200 50;0 150 200 200
